C:\mbw\results\A05_578.txt												
RUN INFORMATION:												
================												
Counting protocol no:  5                                  Thu  9-Nov-2023  4:14												
Name: 3H_2MIN												
CPM normalization protocol no: 91												
												
												
COLUMNS:												
========												
 	SAMPLE	POS	CCPM1	CCPM1%								
 	Unk_263	F11	7528	3.1								
 	Unk_264	F12	7477	3.1								
 	Unk_265	G01	7277	3.1								
 	Unk_266	G02	15	36.6								
 	Unk_267	G03	60	18.5								
 	Unk_268	G04	172	11.2								
 	Unk_269	G05	518	6.7								
 	Unk_270	G06	1768	4.2								
 	Unk_271	G07	3843	3.5								
 	Unk_272	G08	6233	3.1								
 	Unk_273	G09	7047	3.1								
 	Unk_274	G10	7050	3.1								
 	Unk_275	G11	7146	3.1								
 	Unk_276	G12	7594	3.1								
 	Unk_277	H01	6697	3.1								
 	Unk_278	H02	12	40.9								
 	Unk_279	H03	52	19.9								
 	Unk_280	H04	158	11.6								
 	Unk_281	H05	434	7.3								
 	Unk_282	H06	1521	4.5								
 	Unk_283	H07	3646	3.5								
 	Unk_284	H08	6170	3.2								
 	Unk_285	H09	6694	3.1								
 	Unk_286	H10	7020	3.1								
 	Unk_287	H11	6911	3.1								
 	Unk_288	H12	7855	3.1								
 	Unk_289	A01	7401	3.1								
 	Unk_290	A02	32	25.3								
 	Unk_291	A03	553	6.6								
 	Unk_292	A04	1723	4.3								
 	Unk_293	A05	3658	3.5								
 	Unk_294	A06	6733	3.1								
 	Unk_295	A07	7462	3.1								
 	Unk_296	A08	8275	3								
 	Unk_297	A09	8122	3.1								
 	Unk_298	A10	7764	3.1								
 	Unk_299	A11	7956	3.1								
 	Unk_300	A12	7630	3.1								
 	Unk_301	B01	7607	3.1								
 	Unk_302	B02	50	20.4								
 	Unk_303	B03	423	7.4								
 	Unk_304	B04	1622	4.4								
 	Unk_305	B05	3389	3.6								
 	Unk_306	B06	6444	3.2								
 	Unk_307	B07	7359	3.1								
 	Unk_308	B08	7549	3.1								
 	Unk_309	B09	7460	3.1								
 	Unk_310	B10	7737	3.1								
 	Unk_311	B11	7950	3.1								
 	Unk_312	B12	7630	3.1								
 	Unk_313	C01	7306	3.1								
 	Unk_314	C02	24	29.3								
 	Unk_315	C03	221	9.9								
 	Unk_316	C04	945	5.3								
